year,km_driven,fuel,seller_type,transmission,owner,engine,max_power,seats,mileage_value,mileage_unit,selling_price
2010,96443,Diesel,Individual,Manual,2,2179,138.1,7,11.57,kmpl,535000
2009,100000,Petrol,Individual,Automatic,2,2354,177.6,5,11.7,kmpl,400000
2019,10000,Petrol,Individual,Automatic,1,1197,81.8,5,21.21,kmpl,610000
2014,110000,Diesel,Individual,Manual,1,1248,74.0,5,23.4,kmpl,509999
2014,86000,Diesel,Individual,Manual,2,2179,138.1,7,14.0,kmpl,521000
2014,100000,Diesel,Individual,Manual,1,1248,74.0,5,23.4,kmpl,511000
2014,91000,Diesel,Individual,Manual,1,1396,88.73,5,22.54,kmpl,451000
2009,100000,Petrol,Individual,Manual,1,1197,78.9,5,20.36,kmpl,170000
2013,120000,Diesel,Individual,Manual,2,1248,74.0,5,23.4,kmpl,450000
2011,90000,Petrol,Individual,Manual,2,1497,118.0,5,17.0,kmpl,375000
2016,60000,Petrol,Individual,Manual,2,796,47.3,5,22.74,kmpl,305000
2016,51500,Petrol,Individual,Manual,1,799,53.3,5,25.17,kmpl,315000
2016,60000,Diesel,Individual,Manual,2,1248,74.0,5,22.1,kmpl,250000
2012,104500,Diesel,Individual,Manual,2,1399,68.0,5,20.0,kmpl,200000
2012,120000,Diesel,Individual,Manual,3,1461,108.45,5,19.01,kmpl,400000
2014,100000,Diesel,Individual,Manual,2,1248,74.0,5,22.9,kmpl,509999
2008,90000,Petrol,Individual,Manual,3,1799,130.0,5,13.5,kmpl,375000
2005,150000,Petrol,Individual,Manual,3,998,67.1,5,18.9,kmpl,150000
2006,60000,Petrol,Individual,Automatic,1,998,67.1,5,18.9,kmpl,75000
2015,50000,Petrol,Individual,Manual,2,1396,105.5,5,17.43,kmpl,465000
2019,10000,Diesel,Individual,Manual,1,1186,73.97,5,24.0,kmpl,700000
2015,120000,Diesel,Individual,Manual,3,1997,120.0,7,15.4,kmpl,950000
2017,40000,Petrol,Individual,Manual,1,1197,81.83,5,18.6,kmpl,610000
2004,120000,Petrol,Individual,Manual,2,1248,82.0,5,18.9,kmpl,60000
2014,50000,Petrol,Individual,Manual,1,796,47.3,5,22.74,kmpl,235000
2017,90000,Petrol,Individual,Manual,1,1196,73.0,5,15.37,kmpl,330000
2014,90000,Diesel,Individual,Manual,1,1461,83.8,5,20.45,kmpl,472000
2019,10000,Petrol,Individual,Manual,1,1197,81.8,5,21.21,kmpl,585000
2018,10000,Diesel,Individual,Manual,1,909,45.0,8,23.5,kmpl,500000
2019,27000,Petrol,Individual,Manual,1,998,67.05,5,23.95,kmpl,360000
2016,70000,Diesel,Individual,Manual,1,1248,74.0,5,26.59,kmpl,649000
2017,50000,Petrol,Individual,Manual,1,796,34.2,5,16.8,kmpl,200000
2008,60000,Petrol,Individual,Manual,1,1248,82.0,5,18.9,kmpl,240000
2014,110000,Diesel,Individual,Manual,1,1120,70.0,5,24.0,kmpl,400000
2015,100000,Diesel,Individual,Manual,2,793,47.0,5,27.62,kmpl,250000
2018,50000,Diesel,Individual,Manual,1,1497,121.0,7,17.3,kmpl,1200000
2009,105000,Diesel,Individual,Manual,2,1248,75.0,5,17.8,kmpl,250000
2013,110000,Diesel,Individual,Manual,1,2494,100.6,8,12.99,kmpl,819999
2014,60000,Diesel,Individual,Manual,2,2179,140.0,7,15.1,kmpl,800000
2013,49102,Petrol,Dealer,Manual,2,999,123.37,5,18.88,kmpl,429000
2010,60000,Petrol,Individual,Manual,3,1086,62.1,5,17.92,kmpl,150000
2010,120000,Diesel,Individual,Manual,2,1248,82.0,5,20.0,kmpl,315000
2012,90000,Diesel,Individual,Manual,1,936,57.6,5,25.44,kmpl,170000
2013,81000,Diesel,Individual,Manual,2,1461,108.45,5,19.01,kmpl,360000
2018,80000,Diesel,Individual,Manual,1,1186,73.97,5,25.4,kmpl,570000
2012,105000,Diesel,Individual,Manual,2,1461,108.45,5,19.01,kmpl,350000
2017,60000,Diesel,Individual,Manual,1,1248,82.0,5,20.0,kmpl,600000
2017,227000,Petrol,Individual,Manual,1,1373,91.1,7,17.5,kmpl,700000
2012,100000,Diesel,Individual,Manual,2,1461,108.45,5,19.01,kmpl,375000
2019,60000,CNG,Individual,Manual,1,1196,61.7,5,21.94,km/kg,450000
2013,70000,Diesel,Individual,Manual,3,1396,88.76,5,21.9,kmpl,325000
2011,120000,Diesel,Individual,Manual,3,1598,103.6,5,20.54,kmpl,260000
2009,80000,Petrol,Individual,Manual,3,796,46.3,5,19.7,kmpl,130000
2008,120000,Diesel,Individual,Manual,4,2179,138.1,7,11.57,kmpl,150000
2014,40000,Petrol,Individual,Manual,1,1086,62.1,5,17.92,kmpl,220000
2014,53000,Petrol,Individual,Manual,1,1197,78.9,5,20.36,kmpl,275000
2017,60000,Diesel,Individual,Manual,1,1248,74.0,5,25.2,kmpl,455000
2017,30000,Petrol,Individual,Manual,1,1197,81.83,5,18.6,kmpl,570000
2013,100000,Diesel,Individual,Manual,3,1598,103.6,5,20.54,kmpl,330000
2018,70000,Diesel,Individual,Manual,1,2393,147.8,7,13.68,kmpl,1576000
2012,98000,Diesel,Individual,Manual,4,1248,88.8,7,20.77,kmpl,450000
2014,60000,Petrol,Individual,Manual,1,814,55.2,5,21.1,kmpl,250000
2010,80000,Petrol,Individual,Manual,3,1197,78.9,5,20.36,kmpl,165000
2013,117000,Diesel,Dealer,Automatic,1,2696,184.0,7,11.18,kmpl,800000
2018,8576,Petrol,Dealer,Manual,1,1199,88.7,5,18.7,kmpl,680000
2017,19723,Petrol,Dealer,Automatic,1,1199,84.0,5,20.3,kmpl,525000
2016,21446,Petrol,Dealer,Manual,1,1497,116.3,5,16.8,kmpl,825000
2017,52289,Diesel,Dealer,Manual,1,1248,88.5,5,25.1,kmpl,750000
2017,52236,Diesel,Dealer,Manual,1,2179,120.0,7,15.4,kmpl,950000
2017,54470,Diesel,Dealer,Manual,1,2179,120.0,7,15.4,kmpl,950000
2017,25471,Diesel,Dealer,Manual,1,1396,90.0,5,21.9,kmpl,675000
2019,33928,Petrol,Dealer,Manual,1,1199,84.48,5,23.84,kmpl,490000
2018,59736,Diesel,Dealer,Manual,1,1493,100.0,7,18.49,kmpl,775000
2009,54290,Petrol,Dealer,Manual,1,1497,118.0,5,17.0,kmpl,350000
2016,2118,Petrol,Dealer,Manual,1,1198,86.8,5,19.4,kmpl,475000
2017,61379,Diesel,Dealer,Manual,1,2179,120.0,7,15.4,kmpl,950000
2010,58544,Petrol,Dealer,Manual,2,1497,117.3,5,17.4,kmpl,350000
2016,74381,Petrol,Dealer,Manual,1,998,67.05,5,21.79,kmpl,400000
2001,35000,Petrol,Individual,Manual,3,796,37.0,4,16.1,kmpl,75000
2017,63982,Diesel,Dealer,Manual,1,1498,89.84,5,22.7,kmpl,850000
2008,65000,Petrol,Dealer,Manual,2,998,67.1,5,18.9,kmpl,175000
2014,74000,Diesel,Dealer,Manual,1,2523,62.1,7,15.96,kmpl,570000
2013,56429,Diesel,Dealer,Manual,2,1461,108.45,5,19.01,kmpl,525000
2012,56000,Petrol,Individual,Manual,1,1197,78.9,5,20.36,kmpl,270000
2019,19500,Petrol,Dealer,Manual,1,1086,68.07,5,20.3,kmpl,434999
2015,30000,Petrol,Dealer,Manual,1,1197,81.83,5,18.6,kmpl,495000
2016,53000,Diesel,Dealer,Manual,1,1396,88.73,5,22.54,kmpl,575000
2017,5000,Petrol,Individual,Manual,1,1197,81.86,5,20.14,kmpl,600000
2015,25000,Petrol,Individual,Manual,1,1591,121.4,5,17.01,kmpl,700000
2014,72000,Diesel,Dealer,Manual,1,1498,98.6,5,26.0,kmpl,560000
2016,72000,Diesel,Dealer,Manual,1,1248,82.0,5,20.0,kmpl,565000
2005,80000,Diesel,Individual,Manual,1,2523,63.0,7,13.6,kmpl,250000
2013,29000,Petrol,Individual,Manual,2,1598,103.5,5,15.0,kmpl,409999
2016,56832,Diesel,Dealer,Manual,1,1461,83.14,5,19.87,kmpl,495000
2014,30528,Petrol,Dealer,Manual,1,1197,81.86,5,18.6,kmpl,470000
2013,65285,Diesel,Dealer,Manual,1,1498,98.63,5,24.7,kmpl,350000
2020,20102,Diesel,Dealer,Manual,1,2393,147.51,8,13.68,kmpl,1560000
2015,43000,Petrol,Dealer,Manual,1,1199,88.7,5,18.7,kmpl,480000
2013,52380,Diesel,Dealer,Manual,1,1364,67.04,5,23.59,kmpl,270000
2018,74250,Diesel,Dealer,Manual,1,1498,74.96,7,21.0,kmpl,660000
2017,57247,Petrol,Dealer,Automatic,1,1197,81.8,5,20.89,kmpl,490000
2017,52000,Diesel,Individual,Manual,1,1248,88.5,5,24.3,kmpl,800000
2011,47000,Petrol,Individual,Manual,2,1498,97.7,5,16.95,kmpl,350000
2011,80000,Diesel,Individual,Manual,3,1399,68.0,5,17.8,kmpl,170000
2011,85000,Diesel,Individual,Manual,2,1248,75.0,5,18.0,kmpl,125000
2012,100000,Diesel,Individual,Manual,1,1248,73.9,5,19.3,kmpl,400000
2011,110000,Petrol,Individual,Manual,1,1498,97.7,5,16.95,kmpl,250000
2010,178000,Diesel,Individual,Manual,2,1248,91.7,5,20.4,kmpl,190000
2010,120000,Petrol,Individual,Manual,3,796,46.3,5,19.7,kmpl,125000
2017,70000,Diesel,Individual,Manual,1,1956,170.0,5,16.3,kmpl,1950000
2011,120000,Diesel,Individual,Automatic,1,1968,167.6,5,12.8,kmpl,1300000
2010,155000,Diesel,Individual,Manual,3,2494,102.0,8,12.8,kmpl,786000
2015,30000,Petrol,Individual,Manual,1,998,67.04,5,20.51,kmpl,335000
2009,60000,Petrol,Individual,Manual,3,1061,67.0,5,18.9,kmpl,114999
2012,70000,Diesel,Individual,Manual,4,1199,73.9,5,22.07,kmpl,229999
2017,40000,Diesel,Individual,Manual,1,1396,88.73,5,22.54,kmpl,731000
2012,120000,Diesel,Individual,Manual,1,1582,126.32,5,22.32,kmpl,395000
2015,120000,Diesel,Individual,Manual,1,1248,74.0,5,26.59,kmpl,500000
2014,50000,Petrol,Individual,Manual,3,814,55.2,5,21.1,kmpl,220000
2013,100000,Diesel,Individual,Manual,1,1399,68.1,5,20.0,kmpl,240000
2010,120000,Diesel,Individual,Manual,3,1396,90.0,5,23.0,kmpl,215000
2012,90000,Diesel,Individual,Manual,2,1248,74.0,5,22.9,kmpl,400000
2012,90000,Petrol,Individual,Manual,1,998,67.1,5,19.0,kmpl,191000
2013,100000,Diesel,Individual,Manual,2,2498,112.0,8,14.0,kmpl,351000
2015,20000,Petrol,Individual,Automatic,1,624,37.48,4,21.9,kmpl,250000
2009,90000,Diesel,Individual,Manual,2,1493,110.0,5,18.1,kmpl,210000
2011,120000,Petrol,Individual,Manual,3,1496,88.7,5,17.6,kmpl,300000
2017,35000,Diesel,Individual,Manual,1,1498,99.0,5,25.83,kmpl,700000
2010,120000,Diesel,Individual,Manual,2,1991,150.0,5,11.8,kmpl,500000
2002,120000,Petrol,Individual,Manual,1,796,37.0,4,16.1,kmpl,120000
2019,10000,Diesel,Individual,Manual,1,1396,88.76,5,22.54,kmpl,850000
1994,100000,Diesel,Individual,Manual,2,1248,82.0,5,20.0,kmpl,120000
2017,65000,Diesel,Individual,Manual,2,1498,98.6,5,25.5,kmpl,770000
2007,90000,Petrol,Individual,Manual,3,1799,130.0,5,13.5,kmpl,245000
2012,90000,Petrol,Individual,Manual,1,998,67.1,5,20.92,kmpl,250000
2016,42323,Diesel,Dealer,Manual,1,1396,88.76,5,21.19,kmpl,651000
2013,42462,Petrol,Dealer,Manual,1,1497,116.3,5,16.8,kmpl,480000
2015,54723,Diesel,Dealer,Manual,1,1248,74.0,5,25.2,kmpl,470000
2016,30000,Diesel,Individual,Manual,1,1498,98.6,5,27.3,kmpl,500000
2011,42545,Diesel,Dealer,Automatic,1,1998,190.0,5,19.62,kmpl,1075000
2016,32000,Diesel,Dealer,Manual,1,1248,88.5,5,25.1,kmpl,690000
2017,41232,Diesel,Dealer,Manual,1,1248,0.0,5,20.0,kmpl,589000
2018,20375,Petrol,Dealer,Manual,1,1197,81.8,5,20.89,kmpl,480000
2013,43978,Diesel,Dealer,Manual,2,1248,74.0,5,28.4,kmpl,450000
2015,40200,Diesel,Dealer,Manual,1,1498,74.96,7,21.0,kmpl,445000
2018,30000,Petrol,Individual,Manual,1,1197,81.83,5,18.6,kmpl,700000
2014,90000,Diesel,Individual,Manual,1,1248,88.8,7,20.77,kmpl,560000
2013,48000,Diesel,Dealer,Manual,2,1498,98.96,5,21.7,kmpl,475000
2014,27233,Diesel,Dealer,Manual,1,1498,98.63,5,27.4,kmpl,465000
2017,28832,Diesel,Dealer,Manual,1,1248,74.0,5,23.4,kmpl,520000
2011,35000,Petrol,Individual,Manual,1,1368,90.0,5,15.0,kmpl,225000
2015,35000,Petrol,Individual,Manual,1,1373,93.7,7,16.02,kmpl,700000
2006,80000,Petrol,Individual,Manual,2,1497,78.0,5,17.7,kmpl,93150
2016,30000,Diesel,Individual,Manual,2,1493,100.0,7,17.21,kmpl,403000
2009,50000,Petrol,Individual,Manual,2,1086,68.05,5,19.81,kmpl,229999
2016,40000,Diesel,Individual,Manual,2,1248,74.0,5,26.59,kmpl,525000
2014,25000,Petrol,Individual,Manual,1,1373,93.7,7,16.02,kmpl,560000
2020,120000,Diesel,Individual,Manual,1,2179,152.87,7,15.1,kmpl,830000
2011,60000,Diesel,Individual,Manual,2,1248,73.9,5,21.1,kmpl,250000
2014,110000,Diesel,Individual,Manual,1,2523,63.0,9,15.96,kmpl,450000
2016,67000,Diesel,Individual,Manual,1,1997,120.0,7,15.4,kmpl,745000
2010,50000,Diesel,Individual,Manual,2,1399,68.0,5,20.0,kmpl,144000
2008,40000,Petrol,Individual,Manual,1,1061,64.0,5,18.2,kmpl,120000
2008,120000,Diesel,Individual,Manual,2,2179,138.1,7,11.57,kmpl,300000
1999,100000,Petrol,Individual,Manual,1,796,37.0,4,16.1,kmpl,52000
2003,98000,Diesel,Individual,Manual,1,2179,120.0,8,10.5,kmpl,300000
2009,150000,Diesel,Individual,Manual,2,2523,63.0,7,13.6,kmpl,270000
2014,38000,Diesel,Individual,Manual,1,1248,74.0,5,22.1,kmpl,260000
2015,120000,Diesel,Individual,Manual,1,1364,67.05,5,23.59,kmpl,475000
2011,103000,Diesel,Individual,Manual,3,1399,68.0,5,20.0,kmpl,302000
1994,60000,Petrol,Individual,Manual,1,796,37.0,4,16.1,kmpl,45000
2017,80000,Diesel,Individual,Manual,1,1248,88.5,5,24.3,kmpl,775000
2015,50000,Diesel,Individual,Manual,1,1248,88.76,7,20.77,kmpl,700000
2014,90000,Diesel,Individual,Manual,1,1248,74.0,5,25.2,kmpl,530000
2017,70000,Diesel,Individual,Manual,1,1497,108.5,5,21.5,kmpl,869999
2006,110000,Diesel,Individual,Manual,4,1991,112.2,5,14.9,kmpl,155000
2019,30000,Petrol,Individual,Automatic,1,1199,83.83,5,23.84,kmpl,550000
2016,80000,Diesel,Individual,Manual,2,1248,74.0,5,26.59,kmpl,600000
2012,110000,Diesel,Individual,Manual,2,1248,73.9,5,19.3,kmpl,430000
2010,120000,Diesel,Individual,Manual,1,1248,90.0,5,18.8,kmpl,246000
2003,120000,Petrol,Individual,Manual,3,993,60.0,5,17.3,kmpl,120000
2014,70000,Petrol,Individual,Manual,2,1197,81.83,5,18.6,kmpl,565000
2018,60000,Diesel,Individual,Manual,1,1396,88.76,5,22.54,kmpl,850000
2006,90000,Petrol,Individual,Manual,1,796,46.3,5,19.7,kmpl,160000
2014,142500,Diesel,Individual,Manual,1,1248,75.0,5,19.5,kmpl,325000
2011,90000,Diesel,Individual,Manual,3,2179,120.0,8,12.05,kmpl,450000
2015,50000,Petrol,Individual,Manual,1,1086,68.05,5,19.81,kmpl,310000
2013,90000,Diesel,Individual,Manual,3,1498,98.6,5,25.8,kmpl,250000
2015,115000,Diesel,Individual,Manual,2,1248,74.0,5,26.59,kmpl,420000
2013,150000,Petrol,Individual,Automatic,2,1396,98.6,5,15.0,kmpl,330000
2015,68000,Petrol,Individual,Manual,2,1197,81.8,5,20.4,kmpl,405000
2013,90000,Diesel,Individual,Manual,2,2523,62.1,7,15.96,kmpl,400000
2010,110000,Petrol,Individual,Automatic,3,1497,116.3,5,15.6,kmpl,409999
2013,70000,Diesel,Individual,Manual,2,2523,62.1,7,15.96,kmpl,500000
2011,80000,Diesel,Individual,Manual,3,2179,140.0,7,15.1,kmpl,590000
2006,118000,Petrol,Individual,Manual,1,1248,82.0,5,18.9,kmpl,80000
2007,100000,Petrol,Individual,Manual,2,1086,68.05,5,19.81,kmpl,135000
2004,70000,Petrol,Individual,Manual,2,998,67.1,5,18.9,kmpl,70000
2004,77000,Petrol,Individual,Manual,3,796,37.0,4,16.1,kmpl,45000
2018,35500,Diesel,Individual,Manual,1,1248,74.02,5,28.4,kmpl,650000
2018,17500,Petrol,Individual,Manual,1,998,67.04,5,20.51,kmpl,400000
2017,27000,Petrol,Individual,Manual,1,998,67.05,5,23.95,kmpl,350000
2017,60000,Diesel,Individual,Manual,1,1186,73.97,5,24.0,kmpl,550000
2016,25000,Petrol,Individual,Manual,1,998,67.04,5,20.51,kmpl,350000
2015,80000,Diesel,Individual,Manual,1,1248,74.0,5,26.59,kmpl,459999
2012,60000,Petrol,Individual,Manual,2,796,46.3,5,19.7,kmpl,185000
2013,38000,Diesel,Individual,Manual,1,1199,73.9,5,22.07,kmpl,550000
2012,100000,LPG,Individual,Manual,2,998,58.2,5,26.2,km/kg,300000
2012,60000,Petrol,Individual,Manual,3,1248,82.0,5,18.9,kmpl,175000
2011,110000,Diesel,Individual,Manual,1,2494,102.0,8,12.8,kmpl,900000
2016,92000,Diesel,Individual,Manual,1,1498,98.6,7,21.9,kmpl,900000
2012,180000,Diesel,Individual,Manual,3,2523,62.1,9,15.96,kmpl,550000
2018,10000,Petrol,Individual,Manual,1,1197,83.1,5,21.4,kmpl,625000
2017,35000,Petrol,Individual,Manual,2,796,47.3,5,24.7,kmpl,310000
2017,35000,Diesel,Individual,Manual,1,1248,74.0,5,28.4,kmpl,500000
2016,23000,Diesel,Individual,Manual,1,1120,70.0,5,24.0,kmpl,610000
2012,150000,Diesel,Individual,Manual,3,1396,69.0,5,19.09,kmpl,150000
2015,70000,Diesel,Individual,Manual,1,1120,71.0,5,24.4,kmpl,480000
2017,40000,Petrol,Individual,Manual,1,1197,81.83,5,18.6,kmpl,650000
2012,100000,Diesel,Individual,Manual,2,1396,90.0,5,21.9,kmpl,290000
2017,50000,Petrol,Individual,Manual,2,796,47.3,5,24.7,kmpl,300000
2010,120000,Diesel,Individual,Manual,4,1248,73.9,5,19.3,kmpl,270000
2015,60000,Diesel,Individual,Manual,2,1120,71.0,5,24.4,kmpl,400000
2015,28000,Petrol,Individual,Manual,2,796,47.3,5,22.74,kmpl,280000
2009,60000,Petrol,Individual,Manual,3,1298,85.8,5,17.5,kmpl,250000
2012,80000,Diesel,Individual,Manual,2,1248,73.9,5,19.3,kmpl,495000
2018,12000,Diesel,Individual,Automatic,1,3198,197.0,7,10.91,kmpl,3250000
2019,4500,Petrol,Individual,Manual,1,1199,88.76,5,19.5,kmpl,700000
2013,70000,Diesel,Individual,Manual,1,1396,69.0,5,25.0,kmpl,310000
2017,120000,Diesel,Individual,Manual,1,1461,83.8,5,19.87,kmpl,650000
2015,80000,Petrol,Individual,Automatic,1,1199,88.7,5,19.0,kmpl,600000
2009,150000,Diesel,Individual,Manual,4,2179,138.1,7,11.57,kmpl,150000
2009,120000,Petrol,Individual,Manual,1,1390,75.0,5,15.7,kmpl,135000
2014,50000,Diesel,Individual,Manual,1,1248,74.0,5,23.4,kmpl,650000
2012,83000,Petrol,Individual,Manual,1,1497,116.3,5,16.8,kmpl,550000
2017,20000,Diesel,Individual,Manual,1,1248,74.02,5,28.4,kmpl,650000
2018,49000,Diesel,Individual,Automatic,1,2755,174.5,7,12.9,kmpl,2900000
2017,6750,Petrol,Individual,Manual,1,1198,86.8,5,18.5,kmpl,450000
2015,26000,Petrol,Individual,Manual,1,1373,91.1,5,20.73,kmpl,650000
2017,52000,Petrol,Individual,Manual,1,1197,81.86,5,17.0,kmpl,430000
2017,51000,Diesel,Individual,Automatic,1,1582,126.2,5,17.01,kmpl,1143000
2019,20000,Petrol,Individual,Automatic,1,1197,81.8,5,22.0,kmpl,700000
2011,18500,Petrol,Individual,Manual,1,1197,85.8,5,18.5,kmpl,229999
2017,142000,Diesel,Individual,Manual,1,1493,100.0,7,18.49,kmpl,509999
2016,50478,Petrol,Individual,Manual,1,1499,110.4,5,15.85,kmpl,670000
2019,9200,Petrol,Individual,Automatic,1,1199,83.83,5,23.84,kmpl,525000
2016,40000,Diesel,Individual,Manual,1,1461,83.8,5,19.87,kmpl,515000
2020,5000,Petrol,Individual,Manual,1,1197,81.8,5,21.01,kmpl,630000
2019,2300,Petrol,Individual,Manual,1,799,53.64,5,22.7,kmpl,270000
2016,40000,Petrol,Individual,Manual,1,796,47.3,5,22.74,kmpl,300000
2012,119000,Diesel,Individual,Manual,1,2489,95.0,8,14.0,kmpl,250000
2005,100000,Petrol,Individual,Manual,4,796,46.3,5,19.7,kmpl,90000
2017,100000,Diesel,Individual,Manual,1,1248,88.5,7,24.52,kmpl,750000
2009,50000,Petrol,Individual,Manual,2,1061,67.0,5,18.9,kmpl,135000
2013,80000,Petrol,Individual,Manual,2,1196,73.0,5,15.1,kmpl,275000
2018,15000,Petrol,Individual,Manual,1,1198,108.5,5,17.0,kmpl,740000
2018,4295,Petrol,Trustmark Dealer,Manual,1,1496,105.5,5,17.1,kmpl,1000000
2018,5229,Petrol,Trustmark Dealer,Manual,1,1496,105.5,5,17.1,kmpl,1000000
2019,4701,Petrol,Trustmark Dealer,Manual,1,1197,81.86,5,20.7,kmpl,550000
2016,6757,Petrol,Trustmark Dealer,Manual,1,1197,81.8,5,21.01,kmpl,600000
2016,28182,Petrol,Trustmark Dealer,Automatic,1,1598,103.52,5,14.3,kmpl,675000
2019,11533,Petrol,Trustmark Dealer,Manual,1,1498,104.55,5,14.23,kmpl,950000
2017,11688,Petrol,Trustmark Dealer,Manual,1,1497,117.3,5,17.8,kmpl,850000
2012,57728,Petrol,Trustmark Dealer,Automatic,1,1794,138.1,5,14.53,kmpl,550000
2018,23712,Diesel,Trustmark Dealer,Manual,1,1248,88.5,5,28.09,kmpl,925000
2015,70670,Petrol,Trustmark Dealer,Automatic,1,1499,110.0,5,16.5,kmpl,625000
2014,43381,Petrol,Dealer,Manual,2,796,47.3,5,22.74,kmpl,200000
2014,79011,Petrol,Trustmark Dealer,Automatic,1,1497,117.3,5,18.0,kmpl,635000
2014,50000,Diesel,Individual,Manual,2,1248,88.73,5,21.79,kmpl,425000
2011,40000,Petrol,Individual,Manual,1,998,67.1,5,18.9,kmpl,220000
2018,10000,Petrol,Individual,Manual,1,1197,81.86,5,18.9,kmpl,590000
2017,35000,Diesel,Individual,Manual,1,2498,105.0,6,16.55,kmpl,775000
2015,58500,Petrol,Individual,Manual,1,1197,85.8,5,18.5,kmpl,350000
2018,20000,Petrol,Individual,Manual,1,1197,83.1,5,21.4,kmpl,575000
2011,43500,Petrol,Individual,Manual,2,1198,75.0,5,18.06,kmpl,200000
2018,30000,Diesel,Individual,Manual,1,2179,153.86,7,17.6,kmpl,1575000
2015,63000,Diesel,Individual,Manual,1,1498,98.59,5,22.77,kmpl,600000
2016,35000,Diesel,Individual,Manual,1,2523,62.1,7,15.96,kmpl,720000
2012,110000,Diesel,Individual,Manual,2,1396,69.0,5,19.09,kmpl,158000
2018,25000,Diesel,Individual,Manual,1,2179,153.86,7,17.6,kmpl,1575000
2017,30000,Petrol,Individual,Automatic,1,1197,81.86,5,17.36,kmpl,580000
2012,50000,Diesel,Individual,Manual,1,2523,62.1,7,15.96,kmpl,420000
2018,35000,Diesel,Individual,Manual,1,1497,121.0,8,17.3,kmpl,1200000
2018,30000,Petrol,Individual,Manual,1,999,67.0,5,23.01,kmpl,350000
2014,56000,Petrol,Individual,Manual,1,1497,117.3,5,17.4,kmpl,650000
2017,12700,Petrol,Individual,Manual,1,998,67.04,5,20.51,kmpl,400000
2018,35000,Diesel,Individual,Manual,1,1497,108.5,5,21.5,kmpl,700000
2017,30000,Petrol,Individual,Manual,1,1197,82.0,5,19.1,kmpl,520000
2012,120000,Diesel,Individual,Manual,1,2179,120.0,9,12.05,kmpl,450000
2017,100000,Diesel,Individual,Manual,1,2179,147.94,7,14.1,kmpl,850000
2017,34000,Petrol,Individual,Manual,1,799,53.3,5,25.17,kmpl,350000
2011,56000,Diesel,Individual,Manual,1,2489,95.0,8,13.0,kmpl,450000
2008,90000,Petrol,Individual,Manual,1,1086,68.05,5,19.81,kmpl,165000
2010,65000,Petrol,Individual,Manual,2,1086,62.1,5,17.92,kmpl,160000
2011,80000,Diesel,Individual,Manual,1,2179,138.0,7,13.93,kmpl,300000
2012,90000,Diesel,Individual,Manual,3,2179,120.0,8,12.05,kmpl,550000
2015,40000,Petrol,Individual,Manual,1,998,67.05,5,23.95,kmpl,285000
2018,25000,Petrol,Individual,Manual,1,1462,103.0,7,19.34,kmpl,900000
2005,49455,Petrol,Individual,Manual,1,796,46.3,5,19.7,kmpl,180000
2016,100000,Petrol,Individual,Manual,1,814,55.2,5,21.1,kmpl,220000
2013,120000,Diesel,Individual,Manual,1,1248,74.0,5,22.3,kmpl,120000
2010,90000,Petrol,Individual,Manual,4,1197,80.0,5,17.0,kmpl,220000
2013,46815,Diesel,Individual,Manual,2,1248,76.9,5,22.1,kmpl,420000
2013,110000,Diesel,Individual,Manual,1,1405,70.0,5,19.4,kmpl,160000
2015,80000,Petrol,Individual,Manual,1,814,55.2,5,21.1,kmpl,250000
2013,100000,Diesel,Individual,Manual,3,1248,88.8,7,20.77,kmpl,385000
2014,80000,Petrol,Individual,Manual,1,998,67.06,5,20.51,kmpl,318000
2018,40000,Petrol,Individual,Manual,1,1197,81.86,5,20.14,kmpl,480000
2015,70000,Petrol,Individual,Manual,3,998,67.04,5,23.1,kmpl,330000
2011,80000,Diesel,Individual,Manual,1,1405,71.0,5,17.0,kmpl,152000
2014,40000,Petrol,Individual,Manual,1,796,47.3,5,22.74,kmpl,250000
2011,80000,Diesel,Individual,Manual,1,1405,71.0,5,17.0,kmpl,248000
2011,60000,Petrol,Individual,Manual,2,1198,75.0,5,18.06,kmpl,300000
2017,50000,Petrol,Individual,Manual,1,1197,81.83,5,18.6,kmpl,550000
2016,30000,Diesel,Individual,Manual,1,1396,88.73,5,22.54,kmpl,650000
2017,25000,Petrol,Individual,Manual,1,1197,82.0,5,18.9,kmpl,445000
2010,334000,Diesel,Individual,Manual,1,2494,102.0,7,12.8,kmpl,450000
2016,100000,Diesel,Individual,Manual,1,1493,100.0,7,17.45,kmpl,600000
2014,175000,Diesel,Individual,Manual,1,1461,108.45,5,19.01,kmpl,495000
2011,65000,Petrol,Individual,Automatic,3,1586,103.3,5,12.6,kmpl,220000
2011,65000,Petrol,Individual,Automatic,3,1586,103.3,5,12.6,kmpl,260000
2009,90000,Petrol,Individual,Manual,1,1086,62.1,5,17.92,kmpl,150000
2011,80000,Diesel,Individual,Manual,2,1399,68.0,5,20.0,kmpl,200000
2018,110000,Diesel,Individual,Manual,1,2179,140.0,7,16.36,kmpl,1465000
2012,80000,Diesel,Individual,Manual,2,1248,82.0,5,20.0,kmpl,285000
2008,60000,Petrol,Individual,Automatic,3,1339,108.5,5,20.0,kmpl,250000
2014,160000,Diesel,Individual,Manual,1,2489,93.7,7,14.95,kmpl,310000
2010,100875,Diesel,Individual,Automatic,1,2179,120.0,8,11.79,kmpl,600000
2018,20000,Petrol,Individual,Manual,1,1197,83.1,5,21.4,kmpl,560000
